in s,C1 in V,C3 in V
-5.900E-08,8.34961E-03,7.37305E-03
-5.880E-08,9.81445E-03,8.83789E-03
-5.860E-08,9.32617E-03,9.81445E-03
-5.840E-08,7.86133E-03,9.32617E-03
-5.820E-08,6.39648E-03,8.34961E-03
-5.800E-08,7.37305E-03,6.39648E-03
-5.780E-08,5.41992E-03,7.37305E-03
-5.760E-08,-1.41602E-03,4.44336E-03
-5.740E-08,-8.74023E-03,-2.88086E-03
-5.720E-08,-3.85742E-03,-3.85742E-03
-5.700E-08,9.81445E-03,6.39648E-03
-5.680E-08,2.05566E-02,1.46973E-02
-5.660E-08,1.86035E-02,1.42090E-02
-5.640E-08,9.32617E-03,2.97852E-03
-5.620E-08,1.02539E-03,-6.29883E-03
-5.600E-08,1.51367E-03,-3.36914E-03
-5.580E-08,4.44336E-03,1.51367E-03
-5.560E-08,4.93164E-03,3.95508E-03
-5.540E-08,4.93164E-03,2.00195E-03
-5.520E-08,4.93164E-03,-4.39453E-04
-5.500E-08,3.95508E-03,-4.39453E-04
-5.480E-08,2.97852E-03,1.02539E-03
-5.460E-08,3.46680E-03,1.51367E-03
-5.440E-08,6.39648E-03,3.46680E-03
-5.420E-08,6.39648E-03,4.44336E-03
-5.400E-08,5.90820E-03,3.46680E-03
-5.380E-08,4.44336E-03,2.00195E-03
-5.360E-08,2.00195E-03,4.88281E-05
-5.340E-08,2.97852E-03,1.51367E-03
-5.320E-08,4.93164E-03,3.46680E-03
-5.300E-08,4.44336E-03,3.95508E-03
-5.280E-08,3.46680E-03,3.46680E-03
-5.260E-08,3.46680E-03,2.00195E-03
-5.240E-08,4.44336E-03,4.88281E-05
-5.220E-08,5.41992E-03,-1.41602E-03
-5.200E-08,5.90820E-03,-3.85742E-03
-5.180E-08,5.41992E-03,-2.39258E-03
-5.160E-08,5.41992E-03,4.88281E-05
-5.140E-08,3.46680E-03,1.51367E-03
-5.120E-08,3.95508E-03,3.46680E-03
-5.100E-08,3.95508E-03,3.95508E-03
-5.080E-08,3.95508E-03,2.97852E-03
-5.060E-08,4.44336E-03,3.46680E-03
-5.040E-08,3.46680E-03,2.97852E-03
-5.020E-08,3.46680E-03,2.00195E-03
-5.000E-08,3.46680E-03,2.97852E-03
-4.980E-08,3.46680E-03,4.44336E-03
-4.960E-08,5.41992E-03,3.46680E-03
-4.940E-08,8.34961E-03,1.51367E-03
-4.920E-08,1.03027E-02,2.49023E-03
-4.900E-08,9.32617E-03,3.46680E-03
-4.880E-08,5.90820E-03,2.97852E-03
-4.860E-08,4.44336E-03,4.93164E-03
-4.840E-08,5.41992E-03,6.39648E-03
-4.820E-08,6.88477E-03,5.90820E-03
-4.800E-08,7.37305E-03,5.90820E-03
-4.780E-08,6.88477E-03,4.93164E-03
-4.760E-08,4.93164E-03,5.41992E-03
-4.740E-08,4.93164E-03,8.83789E-03
-4.720E-08,8.83789E-03,1.22559E-02
-4.700E-08,1.66504E-02,1.76270E-02
-4.680E-08,1.90918E-02,1.76270E-02
-4.660E-08,1.27441E-02,1.37207E-02
-4.640E-08,3.95508E-03,4.93164E-03
-4.620E-08,-9.27734E-04,-1.90430E-03
-4.600E-08,-2.39258E-03,-3.36914E-03
-4.580E-08,-9.27734E-04,-9.27734E-04
-4.560E-08,1.51367E-03,-4.39453E-04
-4.540E-08,1.02539E-03,2.00195E-03
-4.520E-08,1.02539E-03,2.49023E-03
-4.500E-08,2.97852E-03,3.95508E-03
-4.480E-08,4.44336E-03,6.39648E-03
-4.460E-08,4.93164E-03,6.88477E-03
-4.440E-08,6.39648E-03,3.95508E-03
-4.420E-08,6.88477E-03,-4.39453E-04
-4.400E-08,8.34961E-03,-4.39453E-04
-4.380E-08,4.44336E-03,-1.90430E-03
-4.360E-08,2.97852E-03,-9.27734E-04
-4.340E-08,-1.41602E-03,-9.27734E-04
-4.320E-08,1.02539E-03,4.88281E-05
-4.300E-08,2.97852E-03,1.02539E-03
-4.280E-08,4.93164E-03,-9.27734E-04
-4.260E-08,5.90820E-03,5.37109E-04
-4.240E-08,4.93164E-03,5.37109E-04
-4.220E-08,4.44336E-03,1.51367E-03
-4.200E-08,6.39648E-03,2.97852E-03
-4.180E-08,5.41992E-03,3.95508E-03
-4.160E-08,3.46680E-03,3.46680E-03
-4.140E-08,2.49023E-03,1.51367E-03
-4.120E-08,2.49023E-03,1.51367E-03
-4.100E-08,3.95508E-03,4.93164E-03
-4.080E-08,4.44336E-03,8.83789E-03
-4.060E-08,6.39648E-03,1.07910E-02
-4.040E-08,8.83789E-03,1.12793E-02
-4.020E-08,1.12793E-02,1.12793E-02
-4.000E-08,1.42090E-02,1.27441E-02
-3.980E-08,1.56738E-02,1.37207E-02
-3.960E-08,1.66504E-02,1.17676E-02
-3.940E-08,1.66504E-02,1.07910E-02
-3.920E-08,1.76270E-02,1.07910E-02
-3.900E-08,1.61621E-02,1.32324E-02
-3.880E-08,1.51855E-02,1.46973E-02
-3.860E-08,1.07910E-02,1.22559E-02
-3.840E-08,8.34961E-03,9.81445E-03
-3.820E-08,3.95508E-03,8.83789E-03
-3.800E-08,5.41992E-03,8.83789E-03
-3.780E-08,7.37305E-03,1.07910E-02
-3.760E-08,6.88477E-03,1.12793E-02
-3.740E-08,4.44336E-03,9.81445E-03
-3.720E-08,4.44336E-03,5.90820E-03
-3.700E-08,1.51367E-03,3.46680E-03
-3.680E-08,-4.34570E-03,5.37109E-04
-3.660E-08,-8.74023E-03,-6.29883E-03
-3.640E-08,-4.83398E-03,-7.27539E-03
-3.620E-08,7.86133E-03,2.97852E-03
-3.600E-08,1.81152E-02,1.32324E-02
-3.580E-08,1.81152E-02,1.37207E-02
-3.560E-08,9.32617E-03,3.95508E-03
-3.540E-08,2.49023E-03,-2.39258E-03
-3.520E-08,2.00195E-03,-4.39453E-04
-3.500E-08,4.93164E-03,6.39648E-03
-3.480E-08,6.39648E-03,7.37305E-03
-3.460E-08,3.46680E-03,4.93164E-03
-3.440E-08,1.51367E-03,3.95508E-03
-3.420E-08,1.51367E-03,2.97852E-03
-3.400E-08,1.51367E-03,4.93164E-03
-3.380E-08,5.37109E-04,7.37305E-03
-3.360E-08,3.46680E-03,7.86133E-03
-3.340E-08,6.88477E-03,1.17676E-02
-3.320E-08,8.34961E-03,1.17676E-02
-3.300E-08,7.37305E-03,8.83789E-03
-3.280E-08,8.83789E-03,5.90820E-03
-3.260E-08,1.07910E-02,7.37305E-03
-3.240E-08,1.27441E-02,8.34961E-03
-3.220E-08,1.12793E-02,1.03027E-02
-3.200E-08,1.07910E-02,8.34961E-03
-3.180E-08,8.83789E-03,6.39648E-03
-3.160E-08,6.39648E-03,3.95508E-03
-3.140E-08,7.86133E-03,4.44336E-03
-3.120E-08,8.34961E-03,4.44336E-03
-3.100E-08,1.03027E-02,4.44336E-03
-3.080E-08,8.83789E-03,2.49023E-03
-3.060E-08,8.34961E-03,2.49023E-03
-3.040E-08,7.37305E-03,5.37109E-04
-3.020E-08,7.86133E-03,-1.41602E-03
-3.000E-08,7.86133E-03,-4.39453E-04
-2.980E-08,6.88477E-03,2.00195E-03
-2.960E-08,6.39648E-03,3.46680E-03
-2.940E-08,5.90820E-03,5.90820E-03
-2.920E-08,5.41992E-03,7.37305E-03
-2.900E-08,4.44336E-03,7.37305E-03
-2.880E-08,5.41992E-03,6.39648E-03
-2.860E-08,3.46680E-03,6.39648E-03
-2.840E-08,1.51367E-03,6.88477E-03
-2.820E-08,2.97852E-03,7.37305E-03
-2.800E-08,4.93164E-03,8.34961E-03
-2.780E-08,6.39648E-03,5.41992E-03
-2.760E-08,7.37305E-03,2.97852E-03
-2.740E-08,8.34961E-03,4.88281E-05
-2.720E-08,9.81445E-03,2.97852E-03
-2.700E-08,8.83789E-03,5.41992E-03
-2.680E-08,7.37305E-03,7.86133E-03
-2.660E-08,6.88477E-03,6.88477E-03
-2.640E-08,1.07910E-02,8.83789E-03
-2.620E-08,1.90918E-02,1.42090E-02
-2.600E-08,2.05566E-02,1.90918E-02
-2.580E-08,1.46973E-02,1.61621E-02
-2.560E-08,4.44336E-03,7.86133E-03
-2.540E-08,-5.32227E-03,-9.27734E-04
-2.520E-08,-4.83398E-03,-4.34570E-03
-2.500E-08,-9.27734E-04,-4.39453E-04
